label,message
ham,I'll let you know when it kicks in
ham,I've told you everything will stop. Just dont let her get dehydrated.
ham,Hmm thinking lor...
ham,I don't know but I'm raping dudes at poker
ham,What time you thinkin of goin?
ham,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment."
ham,No b4 Thursday
ham,Ok i am on the way to railway
ham,Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.
ham,Dear got bus directly to calicut
ham,I had a good time too. Its nice to do something a bit different with my weekends for a change. See ya soon
ham,Wish u many many returns of the day.. Happy birthday vikky..
ham,"It wont b until 2.15 as trying 2 sort house out, is that ok?"
ham,Hello! Good week? Fancy a drink or something later?
ham,Did you stitch his trouser
ham,S da..al r above  &lt;#&gt;
ham,I'm going for bath will msg you next  &lt;#&gt;  min..
ham,It means u could not keep ur words.
ham,*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?
ham,how tall are you princess?
ham,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
ham,K.k.how is your business now?
ham,HELLO PEACH! MY CAKE TASTS LUSH!
ham,Actually i'm waiting for 2 weeks when they start putting ad.
ham,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar"
ham,Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx
ham,Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .
ham,Please tell me you have some of that special stock you were talking about
ham,"Yo, you around? Just got my car back"
spam,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop"
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
spam,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
